Reference,Cathode materials,Charge storage mechanism,Electrolyte/ anolyte,AlCl3/XCl molar ratio (r),Ic (mA g−1),Qc  (mAh g−1)#,Vavg (V)*,QAM (Ah kg−1),EAM (Wh kg−1),PAM (W kg−1),Max. cycle
1,Three-dimensional graphitic foam,Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,4000,60,1.8,14,26,1721,7500
,Pyrolytic graphite sheet,,,1.3,66,70,2.2,15,33,31,200
2,Defect-free graphene aerogel (GA-3000),Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,1000,95,1.94,16,31,321,25000
,,,,1.3,3000,100,1.95,16,31,928,
,,,,1.3,5000,100,1.95,16,31,1546,
,,,,1.3,10000,100,1.85,16,29,2927,
,,,,1.3,20000,97,1.73,16,27,5619,
,,,,1.3,50000,97,1.55,16,24,12608,
3,Sonicated natural graphite,Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,100,132,2,16,33,25,100
,,,,2,100,124,1.77,35,62,50,
4,Kish graphite flake,Type 1 AlCl4− intercalation,AlCl3-EMIMCl,2,50,142,1.79,36,65,23,200
,,,,2,200,136,1.7,36,61,90,
,,,,2,1000,130,1.6,35,57,436,
,,,,2,2500,130,1.6,35,57,1089,
,,,,2,10000,129,1.6,35,57,4381,
5,Trihigh tricontinuous graphene film (GF-HC),Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,10000,120,2,16,33,2715,250000
,,,,1.3,20000,120,2,16,33,5430,
,,,,1.3,50000,120,2,16,33,13574,
,,,,1.3,100000,120,1.9,16,31,25790,
,,,,1.3,200000,120,1.75,16,29,47509,
6,"Metal-organic framework-derived porous carbon heterostructures (C@N-C@N,P-C)",Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,500,121,1.2,16,20,81,2500
,,,,1.3,1000,110,1.2,16,19,176,
,,,,1.3,2000,105,1.15,16,18,350,
,,,,1.3,3000,103,1.15,16,18,534,
,,,,1.3,5000,101,1.1,16,17,865,
,,,,1.3,6000,98,1.05,16,17,1016,
7,Chemical vapor deposited three-dimensional graphene (3D graphene),Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.5,20000,200,2,25,51,5065,45000
,,,,1.5,100000,200,1.75,25,44,22158,
,,,,1.5,200000,198,1.5,25,38,38320,
,,,,1.5,400000,175,1,25,25,56854,
,,,,1.5,600000,96,0.75,22,17,104386,
